imgName,entropyMooney,entropyGrayscale,structSim,selfSimilarityMooney,selfSimilarityGrayscale,PHOGcomplexityMooney,PHOGcomplexityGrayscale,anisotropyMooney,anisotropyGrayscale,edgeEntropyMooney,edgeEntropyGrayscale
049,2.43022404083016,7.53064492295766,0.0745239697715032,0.58962,0.78186,13.952,20.537,0.0012843,0.00023626,0.301628075312453,0.702907274183936
052,1.64300471629378,6.61603203222823,0.573015912228438,0.48839,0.47647,6.8392,8.5709,0.0014121,0.00058574,0.190728679263754,0.443611505414956
053,1.64133398580112,7.72880414329151,0.261149172448942,0.4632,0.58766,4.9631,8.6269,0.0016098,0.00057962,0.149390703052137,0.555452961491479
055,2.06060745719261,7.65592536411604,0.195708790007027,0.54271,0.72165,9.1708,11.301,0.0014298,0.00052005,0.214748487142851,0.50866618064147
056,1.978329966052,7.19775253120027,0.178991682124288,0.48736,0.53871,8.7851,9.5574,0.0014415,0.00042025,0.209432303762697,0.567975295131775
057,2.06602337653205,7.09902512122751,0.457980245833263,0.4611,0.65191,4.7012,4.8769,0.0011115,0.00035865,0.141274148442726,0.43415379857446
060,2.64237585271991,7.81877360383717,0.233244060248567,0.58748,0.74417,8.2158,8.0282,0.0010086,0.00059063,0.212315628313163,0.437902241353683
062,1.7772302395879,7.058461473903,0.108297052563033,0.48527,0.51361,6.5874,9.7186,0.0016669,0.00071025,0.190963486354985,0.459801982335156
063,2.3179532753331,6.9037672542931,0.399314525402057,0.53839,0.64632,12.904,18.878,0.0015603,0.0012065,0.301903264549108,0.524678576243329
064,1.61438797488593,6.99714048547126,0.0427324378292919,0.37535,0.47214,8.5544,15.502,0.0016475,0.00052011,0.227101368804841,0.553784514249566
065,1.76929249944981,7.4164851367296,0.451514522626046,0.45436,0.53842,6.3706,13.079,0.0013687,0.00039553,0.18837684006271,0.432124801449681
067,1.69834811175764,6.86243835298888,0.147466109874899,0.43461,0.49703,9.5665,9.7279,0.0021127,0.0014491,0.220493867446324,0.408346723993314
068,1.94896012428655,7.1258268793538,0.319052686755445,0.43324,0.48798,9.2789,11.376,0.0015156,0.00053135,0.215943553218401,0.483423281863459
069,2.12911922868554,7.40726961258772,0.184419522434404,0.6838,0.65772,9.3697,9.3188,0.001047,0.00038261,0.219282196552869,0.520600484962102
072,1.35821594580166,6.95335372368536,0.393859363990744,0.50765,0.71935,5.1666,6.2726,0.0013743,0.00027266,0.156158543674268,0.568037052209496
073,2.00541499625869,7.47676865840197,0.188822633625537,0.61731,0.61697,9.0113,8.848,0.0014901,0.0006062,0.210752196530474,0.425639362936659
074,2.04953670030492,7.70176437611255,0.169283859628369,0.45434,0.70309,10.736,15.494,0.0012483,0.00049078,0.241001179099641,0.597760721911002
076,2.12866201290132,7.55743541677675,0.326399537216837,0.44795,0.59673,10.173,10.591,0.0015321,0.00066908,0.233591297846211,0.442723830784503
078,2.02330756795708,7.47432126635869,0.205724907540042,0.6264,0.67039,8.2956,9.122,0.0012111,0.00030511,0.202104753546924,0.467580468124457
079,2.21724665077324,6.72558907950024,0.189657348814057,0.35596,0.53583,6.2459,10.363,0.0012351,0.00076083,0.179005209026245,0.461237196739077
080,1.43147088024769,7.54405287895453,0.123046400146028,0.47237,0.53121,6.0323,8.6356,0.0013657,0.00046387,0.172444666903099,0.552947443361308
081,1.47435776825419,6.93975973097529,0.174314871252795,0.50991,0.60584,6.7374,8.9333,0.0013522,0.0005798,0.196924357742467,0.373688981480245
082,1.9486058622576,7.64387965534779,0.238706968988293,0.55826,0.53869,8.8521,7.7173,0.0014427,0.00068976,0.205368880094179,0.423252475749513
084,2.31030319144556,7.73883127485708,0.149364229445398,0.63717,0.67077,12.484,18.434,0.0010102,0.00033475,0.278216565503493,0.635728102864648
085,1.49477349133182,6.91776855323547,0.118897432465123,0.54089,0.59647,5.0972,4.409,0.0013631,0.00053453,0.160658510767603,0.361392349520898
086,2.43702719256752,7.78337638560242,0.151253932610842,0.70195,0.70917,13.233,19.881,0.00091215,0.00027619,0.286659628938499,0.650581439012387
087,1.22317979852222,6.96421503902825,0.369322434976762,0.30206,0.58974,5.132,13.052,0.0017785,0.00060902,0.154772570974376,0.523238977713712
089,1.96371568463559,7.41512280099827,0.159186555390199,0.59487,0.73945,7.8898,12.913,0.0012463,0.00032632,0.192887754245291,0.643993889948444
090,1.98589548634139,7.88089280345599,0.141587468680672,0.46204,0.75036,8.6821,14.122,0.0016345,0.00050836,0.207011947929935,0.572211668618468
091,1.80532116277668,7.73846468061224,0.148505986147589,0.52816,0.83204,6.4364,15.7,0.0014034,0.00026733,0.18647606162558,0.610920119036729
094,2.15909889044789,6.84734704629128,0.206136792589294,0.59526,0.61783,10.185,6.0966,0.0011814,0.0003723,0.234035670785613,0.580313406825455
096,2.06159320987527,7.57450600325676,0.365276363837287,0.56129,0.51643,8.7889,7.4118,0.001513,0.0010648,0.208489021817058,0.391205644620106
097,1.83060882175575,7.62697768437117,0.0786007687417003,0.5886,0.63061,7.6442,11.107,0.0010911,0.00024577,0.213189771355158,0.468388809275159
098,1.82926919466718,7.71270401386014,0.340827047447278,0.56296,0.67047,6.949,6.5176,0.0013519,0.00047271,0.199881031761531,0.422669089195136
099,1.95454576343149,7.18335170205538,0.0581646742310659,0.6012,0.69168,9.4605,21.816,0.001059,0.00022919,0.222144841815946,0.596507176585976
1001,1.64592529869874,7.64386184151415,0.171454577322773,0.6067,0.73859,6.3794,9.2858,0.0012517,0.00042627,0.182899392827741,0.462074946402038
1002,1.65892042394131,7.228492209846,0.225239188392581,0.55993,0.67424,6.8463,10.989,0.001205,0.00035311,0.196216333570637,0.519246633687849
1003,2.3669335013615,7.63047214662147,0.136302095816344,0.75786,0.65872,12.818,17.325,0.00099218,0.00030209,0.279847971750156,0.583377128792445
1004,1.80322782072052,7.61802246562586,0.126116098314441,0.58861,0.82364,8.7264,22.082,0.0011707,0.00018844,0.209626657393553,0.688180195069597
1005,1.96609127335355,7.78318509133786,0.20969774045504,0.68987,0.69896,9.5049,15.74,0.0012001,0.00029763,0.224351394108198,0.537171556781174
1006,2.28004727948738,7.81631875249204,0.161253193535162,0.58693,0.66793,12.38,20.143,0.00099181,0.00039155,0.274327339155097,0.677884524462207
1007,1.23980266028763,7.31460583418169,0.544043275381993,0.44137,0.47549,4.6455,6.7054,0.0017915,0.00074397,0.139994211399155,0.489010019309655
1008,2.06380710346977,7.91159503497183,0.222674160193188,0.55576,0.59307,8.8867,8.6319,0.0012221,0.00063213,0.215214281188322,0.428901581659609
1009,2.13429875790635,7.61566423664112,0.157748045172663,0.55965,0.67034,10.147,20.004,0.0011226,0.0004742,0.242142919090435,0.584417810688835
100,2.40008055770388,7.4200388965363,0.182932219416344,0.68141,0.71222,13.084,24.039,0.00087255,0.00028934,0.284785902619177,0.636230858213928
1010,2.66616206906029,7.82708313218221,0.135767901316528,0.76696,0.80998,16.862,26.55,0.00092246,0.00030734,0.345553901903195,0.633032123978082
1011,2.3283533440265,7.34520976033794,0.212125493846864,0.69338,0.62136,13.445,10.118,0.0013785,0.00078595,0.288842173030611,0.571303974080403
1012,1.73578082947865,7.53067774083369,0.280244219849626,0.43084,0.56243,5.6826,10.643,0.0012911,0.00039724,0.174103006428771,0.522648844240609
1013,1.65846964971069,7.32656953095151,0.154510879498746,0.51725,0.70504,6.7522,5.04,0.0015641,0.00057844,0.186409518768466,0.475957010656546
1014,1.47494332948041,7.21384168327753,0.232603955774833,0.35515,0.44681,3.6627,4.0104,0.0018984,0.00056333,0.117294359367187,0.349366678438288
1015,1.61239110780653,7.10709053770679,0.250762951497308,0.39254,0.552,5.3964,5.7162,0.0016011,0.00075331,0.162612429566996,0.43446372164525
1016,1.82084690705303,7.52654496071563,0.207162099025394,0.58146,0.675,8.7168,15.607,0.0011557,0.00042491,0.208538160099954,0.547210406459681
1017,2.04148160023967,7.66537878240266,0.301331478716729,0.65607,0.73245,9.1962,18.855,0.00099686,0.00022746,0.219353784099531,0.646649720552695
1018,2.02824027984303,7.58517124007697,0.196521095732699,0.59052,0.76896,9.4038,14.588,0.0012586,0.00036868,0.226736666018731,0.516361484206127
1019,1.97849263433403,7.69325565633812,0.125633872672344,0.64201,0.7472,8.6356,16.352,0.0010328,0.00033402,0.207217798817107,0.612883295815567
101,2.66412717803795,7.89453238953522,0.246643576966866,0.64312,0.59869,14.352,12.046,0.0012399,0.00073976,0.291367459194725,0.403191405042013
1020,2.23180041247868,7.76814394612862,0.225431303656599,0.65477,0.65322,11.48,10.326,0.0010182,0.00048869,0.258672668701382,0.42958495160014
1021,2.33631837394697,7.60384837708026,0.12173136232152,0.6532,0.76905,14.377,27.828,0.0010578,0.0003072,0.306097287338255,0.590678023601911
1022,2.08625827624931,7.56233119345255,0.152748365126523,0.5547,0.72243,11.378,21.633,0.0010597,0.00026626,0.256688561533798,0.607186458164741
1023,1.9985197402274,7.12057438603516,0.269853545318805,0.63563,0.66129,8.2657,4.7165,0.0012774,0.00059805,0.199395214679367,0.407592738281105
1024,1.78367901749539,7.26351179296055,0.14910578606112,0.54868,0.59323,6.6819,6.4815,0.0013167,0.00043066,0.193299519735375,0.564161762183513
1025,1.77207824595362,7.54479623846985,0.283832984658603,0.51425,0.70211,6.0599,7.2196,0.0012771,0.00066396,0.179349400674864,0.462177114768812
1026,2.22059580828277,7.67134144032308,0.313896775513843,0.56499,0.67491,12.79,15.262,0.001115,0.00039221,0.28039771784241,0.517661703181431
1027,1.96193988545757,7.77186489534417,0.242201350263309,0.62125,0.66849,8.0162,8.037,0.0011611,0.00050444,0.194516921869447,0.458632436808854
1028,1.97891596604292,7.82640660227501,0.288569159569382,0.53942,0.70348,8.5947,16.964,0.0011938,0.00043421,0.228908640351428,0.589162091212486
1029,1.01701693438562,6.85816994540672,0.0797180285701994,0.28866,0.77937,2.9608,7.351,0.0019111,0.0003604,0.101145924768964,0.662131112910323
102,2.47189901051105,7.1060181057292,0.168292129529508,0.64886,0.63675,15.81,16.465,0.0011399,0.00021682,0.324403977641725,0.681458572442797
1030,2.13534751215299,7.73181021827491,0.22368652198029,0.64451,0.63806,10.037,10.715,0.0012176,0.00053852,0.234486110653013,0.483979617740703
1031,2.04518969254134,7.69636045855272,0.203469872280651,0.58449,0.65019,9.0415,11.525,0.0011538,0.00025988,0.216513659719535,0.504343059897949
1032,1.66877543323267,7.65214723891543,0.431417201260481,0.48194,0.60057,5.8163,5.6412,0.0017361,0.00077829,0.167040871539997,0.414267137104509
1033,1.5611693066857,7.23232539013726,0.41715721309716,0.37897,0.40231,4.8658,5.3217,0.0021094,0.0013887,0.147842856647678,0.262127195486419
1034,1.89029155560122,7.58369907272715,0.198454599243462,0.49551,0.58321,8.3684,10.603,0.0014876,0.00060424,0.205751352701017,0.482792352663196
1035,2.24003505682615,7.88638198388367,0.107233611721128,0.66153,0.88087,11.909,30.839,0.0011329,0.00021197,0.264787612920514,0.659696495970807
1036,1.8713121782512,7.46251969572453,0.179771863011136,0.58001,0.74616,8.0906,14.468,0.0011608,0.00032829,0.199265450071243,0.503199068613889
1037,2.08970574999281,7.71043662888604,0.200119764202949,0.59883,0.61262,10.048,9.0785,0.0011378,0.00046791,0.233761481180555,0.490515456824737
1038,1.69588048503761,6.9829671842675,0.226750427784166,0.60554,0.65818,6.296,6.6937,0.0015322,0.00066285,0.175544497489389,0.39516678992689
1039,1.95112558135148,7.43686038720694,0.279913290032095,0.60672,0.72735,8.0141,8.9579,0.0012105,0.00055927,0.20020285301267,0.56168123950938
103,2.00066467426381,7.43250663645914,0.161653417774917,0.57938,0.76476,8.3262,11.077,0.0012148,0.00025414,0.20265997325414,0.594562985139483
1040,1.49211445781684,7.48732813154656,0.486115649626892,0.49305,0.57003,4.8586,7.8638,0.001533,0.00036471,0.14981747835608,0.409617208549023
1041,2.29800836389521,7.7397276947735,0.130771540726991,0.65246,0.75361,12.893,19.697,0.0010784,0.00038058,0.282085787582768,0.612319553844647
1042,1.80063853891879,7.50745807900874,0.264204208873859,0.58361,0.73645,7.1259,8.4435,0.0015554,0.00063505,0.197257528007639,0.445140717282721
1043,2.04371550596907,7.69642408003883,0.2371598441843,0.68164,0.63674,8.6252,6.314,0.0012201,0.00057715,0.207036218978766,0.466962379379297
1044,1.58881382731449,7.36431505301751,0.072153491434214,0.46262,0.71338,6.805,11.171,0.0013386,0.00044686,0.197245699304836,0.554020291196205
1045,1.64244401919017,7.54342667641843,0.186161493460017,0.45531,0.71214,6.7797,10.553,0.0012481,0.00055096,0.192156013235622,0.439383729227733
1046,1.99849731319554,7.50787312155455,0.231789575292922,0.60042,0.70747,8.7569,10.064,0.0011941,0.00038268,0.210399329450042,0.503733411969373
1047,1.51956597910046,7.53930681683329,0.176379521214749,0.54403,0.66842,5.7131,10.7,0.0014839,0.00063338,0.165880670852702,0.439521184652546
1048,1.75774154773453,7.60830863506942,0.114966953892776,0.43959,0.66024,9.6022,28.721,0.0012255,0.0003322,0.229855833028069,0.654127926747743
1049,1.76664604408649,7.50475202901988,0.412830104158719,0.49152,0.57724,7.4858,6.3438,0.0012572,0.00047631,0.210227126743356,0.457421245457348
104,2.05409342702868,7.06625929555513,0.177941323348545,0.46958,0.46325,5.1016,4.0782,0.0011958,0.0005713,0.152466499268673,0.350192630288201
1050,1.91737927255528,7.46858614414939,0.114914044671868,0.51011,0.6298,8.6518,13.927,0.0012722,0.0003995,0.211138493264258,0.560926213862854
1051,1.71692477960595,7.59175736946167,0.0607449188205805,0.48111,0.53899,6.4615,24.534,0.0014803,0.00039371,0.186319169222502,0.609519707238924
1052,2.45927894633186,7.59323594924537,0.37066953015673,0.57572,0.61732,15.2,20.378,0.0013421,0.00037817,0.321784988819094,0.502395100236823
1053,1.97721855321628,7.76713395974358,0.132692366630081,0.58514,0.75968,9.4097,17.439,0.0011367,0.00033963,0.223345147974078,0.640635681310656
1054,2.23808181146592,7.67899434328782,0.187967631200332,0.605,0.79402,11.477,20.012,0.0010436,0.00026247,0.257662591222871,0.630315253916296
1055,1.09009246979693,7.36786076340177,0.0780830673184299,0.20253,0.68833,4.6434,12.438,0.0019885,0.00089268,0.141346022211948,0.577527871559194
1056,1.83445145064179,7.57117153807298,0.113106164599072,0.60051,0.78304,8.8646,18.316,0.0011121,0.00017717,0.213131063489504,0.604691255458694
1057,2.17071436078274,7.64933325973723,0.127041834396797,0.58961,0.78354,11.206,17.257,0.0011366,0.00031523,0.254363990687444,0.571085850332236
1058,2.06809951063853,7.38155811082667,0.140161818382414,0.67354,0.71473,11.127,10.967,0.0012587,0.0003955,0.253873462602332,0.412949146351931
1059,2.49421197772926,7.86357436767537,0.140708171142279,0.73072,0.83524,14.737,27.589,0.00091601,0.00019811,0.311566935751496,0.705532662370943
105,3.06462150300904,7.79267107658341,0.274006172763658,0.76299,0.71843,21.575,33.134,0.00092407,0.00058068,0.408348824487726,0.655883410116192
1060,1.95298728085801,7.58591352426314,0.166651716894261,0.44038,0.68154,8.5823,17.069,0.0012478,0.00037325,0.206770177326973,0.488548643718878
1061,2.25083480344828,7.55731166983436,0.13495806143967,0.64379,0.79044,11.813,18.635,0.0010613,0.00036557,0.264549783754865,0.679884736066618
1062,2.1420761196391,7.85305858836743,0.0798228651946742,0.65039,0.79205,10.894,27.972,0.0011019,0.00024694,0.250176719033149,0.672795437413645
1063,1.83744119852493,7.80226991059222,0.234467640184893,0.53611,0.7056,7.7595,15.441,0.0012481,0.000404,0.190855504579511,0.51798134649455
1064,1.73430084700862,7.60254525571541,0.33878138655991,0.49195,0.5598,5.7551,6.2862,0.0014104,0.00067588,0.175687412889687,0.348047271902108
1065,1.57783328764834,7.814968889262,0.272307483717277,0.32613,0.62355,4.5736,6.7897,0.0017839,0.00064024,0.142718032211476,0.454781768141117
1066,2.11559857454909,7.43790980692608,0.239881909920131,0.57254,0.63448,10.638,12.783,0.0013145,0.00050896,0.242322387815573,0.491942116622016
1067,1.50517817999575,7.2026466799868,0.343693035153805,0.30421,0.73057,4.3942,14.134,0.0017898,0.00057762,0.135139395830167,0.578364435244436
1068,1.11270614219005,7.07447593390529,0.30910670501178,0.27615,0.66406,4.6369,11.736,0.0017558,0.00035116,0.144484148671684,0.57731118557687
1069,2.20921654083168,7.77309127274554,0.143509550156106,0.70341,0.75175,10.973,26.949,0.0010587,0.00021877,0.251392140241715,0.668612360256419
106,1.88759696421898,7.38641715675587,0.153951713888536,0.48053,0.71088,9.0758,16.323,0.0015723,0.00043275,0.213414951649541,0.647522496910879
1070,2.18069345339863,7.4906189311821,0.278689542140448,0.55575,0.67298,10.483,7.3927,0.001313,0.00044027,0.242074964482841,0.532665018823744
1071,1.99428679786564,7.87718242478218,0.222769463042912,0.58875,0.68345,8.6822,11.19,0.0011069,0.000425,0.208878629022084,0.48611782033328
1072,1.69328909764363,7.42898462364053,0.312469926590112,0.57488,0.4779,7.558,12.747,0.0013901,0.00037743,0.208988833433462,0.519930912972647
1073,1.11915324606779,6.7043111490386,0.438887713190814,0.29057,0.41778,3.9055,10.388,0.0018101,0.00058721,0.123759806299202,0.583671202123943
1074,1.88520637605915,7.68776793258253,0.170458623910491,0.49046,0.72502,8.0377,13.534,0.0012484,0.00035006,0.216529760678839,0.52529132285015
1075,1.8808164741781,7.84599846732851,0.174756253015722,0.51652,0.75511,7.9431,14.697,0.0012983,0.00041455,0.217492960288157,0.522963496651095
1076,2.03408901236024,7.77197803255656,0.163695878986147,0.58636,0.72679,9.41,22.513,0.0011514,0.0002447,0.225060751743299,0.633765054696397
1077,2.3800926266313,7.65955143683282,0.22711595706964,0.46226,0.58934,13.552,18.487,0.0014104,0.00060468,0.288180195461895,0.518227564232276
1078,1.89106022305176,7.69073389718248,0.260635502882119,0.54983,0.66073,8.1755,7.264,0.0015193,0.00090887,0.198533292080426,0.37560434767287
1079,1.50813996173685,7.51673576907872,0.457855876639112,0.48313,0.50752,5.353,13.428,0.0015275,0.00087024,0.159627562762633,0.504484327441148
1080,1.54128014912341,7.52099350645023,0.205506894999875,0.48857,0.59448,4.7428,5.743,0.0016505,0.00068159,0.148438955089012,0.436845899551765
1081,2.10506101420739,7.64917799459563,0.134060008452018,0.61287,0.7182,10.453,16.219,0.0012191,0.0002296,0.241963742506044,0.637415471571617
1082,1.84872033691305,7.84324135670088,0.235347923343653,0.58882,0.68113,7.4908,8.8628,0.0014808,0.00066033,0.205453885747555,0.527082833003543
1083,1.9871750349401,7.44720682175573,0.224736528357468,0.57384,0.68357,8.2319,7.6811,0.0011553,0.00034485,0.2002032327793,0.426662850552589
1084,1.69126292727523,7.5499785793488,0.292190079011154,0.35392,0.39232,6.1396,6.4125,0.0017607,0.0009237,0.174198600562146,0.339786885275694
1085,1.48706137148469,6.45522569850968,0.468148019256633,0.52869,0.67034,4.2697,2.0021,0.0018651,0.00055651,0.129652965353247,0.305100896992761
1086,1.32181089567589,6.97173248047628,0.555953920227085,0.41438,0.6468,4.4883,7.737,0.0014858,0.00049824,0.147949245909754,0.436807964110411
1087,1.27247150189515,7.50873958101478,0.0849801389802301,0.4463,0.86719,4.0702,21.858,0.0013708,0.00013397,0.133972946046353,0.752516270205721
1088,1.7590282081808,7.10555933750679,0.269909209795504,0.4897,0.47418,6.0842,8.7781,0.0016531,0.00074088,0.177749723756207,0.484486703366759
1089,2.05916839642285,7.7554073288787,0.108000886713645,0.64472,0.7019,9.4724,20.314,0.0012156,0.00028743,0.22145722070084,0.575199663899344
108,2.57148254963644,7.58232356476494,0.0995181382447194,0.59875,0.7545,7.7956,16.963,0.00076307,0.0001844,0.198654123840386,0.570855521228633
1090,1.68145632193341,7.74463439798772,0.233280884253224,0.46622,0.58958,5.908,14.534,0.0013588,0.0002531,0.171033866339825,0.579434789500281
1091,1.77612669914637,7.35473261833483,0.389230419585498,0.38467,0.44731,8.4447,14.805,0.0012497,0.00052133,0.221396734396601,0.552496152250832
1092,2.37380898748518,7.71270556509264,0.105668052747541,0.55209,0.74312,13.688,17.849,0.0010156,0.00030919,0.297439321131915,0.652686301324961
1093,1.69624187716946,7.54578035535795,0.397661605491208,0.37516,0.43537,6.2143,10.815,0.0014414,0.0005396,0.175609485713412,0.496336773074926
1094,1.41003771375322,6.73756561598003,0.543369088049045,0.2745,0.48427,6.1531,9.057,0.0019514,0.00064054,0.175000841149412,0.449738189425365
1095,1.73130075818296,7.18985983831637,0.170764903841789,0.48544,0.58779,7.0826,14.945,0.0012989,0.0003829,0.196187617228628,0.556278240867891
1096,2.06305424954206,7.75023298964164,0.217410358025549,0.59418,0.65426,9.6968,18.559,0.0011738,0.00054264,0.229703170877786,0.524551032173961
1097,1.98917368967068,7.17591698980576,0.210051789988006,0.402,0.60863,9.309,12.964,0.0013661,0.00051388,0.220991962164111,0.622992595235992
1098,2.18149705389354,7.61685387253212,0.138651730127476,0.67487,0.77061,10.75,16.647,0.0011222,0.00030906,0.24565660493982,0.571728529773759
1099,2.09099367407266,7.45464367777196,0.286892298787976,0.68279,0.6597,9.2075,7.4692,0.0012077,0.00053551,0.218605776752679,0.430853294289511
1100,2.00862868068092,7.5116408525456,0.375824891536416,0.62071,0.58551,8.9761,7.1885,0.0011941,0.00051233,0.217609581712981,0.450210764566912
1101,1.5427804308275,7.46833430688353,0.154873889645166,0.43057,0.63753,5.0438,6.9784,0.0014941,0.00037607,0.154243555822059,0.436174166721269
1102,1.81817844858776,7.71746205995569,0.158496860204792,0.4828,0.69513,7.5477,18.138,0.0013197,0.00034498,0.205217324422651,0.606627620985897
1103,2.224755887068,7.70546748050332,0.181680007736833,0.65147,0.69396,10.928,13.391,0.0010545,0.00040261,0.249543513370492,0.510738710383735
1104,2.11609346690416,7.40734010859761,0.155675177260039,0.55171,0.7661,10.856,18.88,0.0010239,0.00019548,0.248636855971695,0.747185291588784
1105,1.98816935395523,7.80096549605302,0.226615111174485,0.60672,0.66182,8.4195,8.5689,0.0013199,0.0006143,0.202377811888304,0.487318553339149
1106,1.64286569762804,7.50048522370061,0.17211400108189,0.54511,0.67962,6.4637,9.2022,0.0014278,0.00060068,0.186759698008184,0.507294553337981
1107,1.77976644015754,7.40212905393164,0.242693914072549,0.52251,0.5535,6.4755,5.8374,0.001559,0.00060803,0.186938951730766,0.429927853517428
1108,1.94944384642457,7.50615396877071,0.135233234500081,0.64873,0.71216,8.3463,12.248,0.0013589,0.00037697,0.200193177000083,0.496979110579001
1109,2.17914308653353,7.8633806135115,0.168895978057252,0.55407,0.76383,10.617,13.918,0.0012414,0.00032839,0.244051720610417,0.595907832126395
1110,1.64345950642638,7.70552444524854,0.191969697979662,0.28191,0.49571,5.4161,11.154,0.0017788,0.00065632,0.158837469583686,0.485592987943694
1111,2.2170363385941,7.78623993637758,0.115122510737251,0.57602,0.77106,11.76,19.269,0.0010252,0.00031068,0.26431880707704,0.58269482775908
1112,2.02474438018945,7.68866756487791,0.243669643058404,0.45032,0.67362,9.4926,17.712,0.0013399,0.0005627,0.224645974400725,0.589065569449597
1113,2.05579714201312,7.60655668225953,0.282492562896674,0.55837,0.72485,10.038,10.575,0.0010455,0.00043395,0.231141076706111,0.566260688571805
1114,2.35300137028108,7.62639234395104,0.194391003165264,0.72461,0.73238,11.969,10.857,0.00098109,0.00025964,0.266598588282674,0.518417981622546
1115,1.62015192246669,7.0024010399202,0.208104103354917,0.36614,0.586,4.899,7.0339,0.0016229,0.00045077,0.152592389085131,0.461071759128971
1116,2.03996477578888,7.27363063514534,0.12483261021645,0.6368,0.6962,9.9311,14.432,0.0013149,0.00035757,0.231907884993732,0.517961870953001
1117,2.2124354449131,7.83864884660825,0.142311005117759,0.55374,0.61077,11.265,19.181,0.001033,0.00024066,0.253525113338729,0.614400957704364
