"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","responses","question_order","currentStim","old","correct"
"null","../img/tt/049tt.jpg","null","mooney1","image-keyboard-response","56","569046","0.0-6.0-1.7","3411512","coCA","norming","","","","","","",""
"6859.719999998575","","","post_mooney1_questions","survey-likert","57","575908","0.0-6.0-2.7","3411512","coCA","norming","","","{""curiosity"":2,""confidence"":0}","[0,1]","../img/tt/049tt.jpg","",""
"3206.1599999997998","","","recognition","survey-text","58","579116","0.0-6.0-3.7","3411512","coCA","norming","","","{""guess"":""berg""}","","../img/tt/049tt.jpg","",""
"null","../img/gs/049gs.jpg","null","reveal","image-keyboard-response","59","581124","0.0-6.0-4.7","3411512","coCA","norming","","","","","","",""
"null","../img/tt/049tt.jpg","null","mooney2","image-keyboard-response","60","583130","0.0-6.0-5.7","3411512","coCA","norming","","","","","","",""
"3887.7000000011176","","","post_reveal_questions","survey-likert","61","587020","0.0-6.0-6.7","3411512","coCA","norming","","","{""aha"":2}","[0]","../img/tt/049tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","62","587230","0.0-6.0-0.8","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1148tt.jpg","null","mooney1","image-keyboard-response","63","590238","0.0-6.0-1.8","3411512","coCA","norming","","","","","","",""
"5867.229999999865","","","post_mooney1_questions","survey-likert","64","596108","0.0-6.0-2.8","3411512","coCA","norming","","","{""curiosity"":1,""confidence"":0}","[0,1]","../img/tt/1148tt.jpg","",""
"3382.095000000787","","","recognition","survey-text","65","599492","0.0-6.0-3.8","3411512","coCA","norming","","","{""guess"":""auto""}","","../img/tt/1148tt.jpg","",""
"null","../img/gs/1148gs.jpg","null","reveal","image-keyboard-response","66","601496","0.0-6.0-4.8","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1148tt.jpg","null","mooney2","image-keyboard-response","67","603504","0.0-6.0-5.8","3411512","coCA","norming","","","","","","",""
"3545.8149999994785","","","post_reveal_questions","survey-likert","68","607052","0.0-6.0-6.8","3411512","coCA","norming","","","{""aha"":4}","[0]","../img/tt/1148tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","69","607262","0.0-6.0-0.9","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1188tt.jpg","null","mooney1","image-keyboard-response","70","610273","0.0-6.0-1.9","3411512","coCA","norming","","","","","","",""
"11232.524999999441","","","post_mooney1_questions","survey-likert","71","621508","0.0-6.0-2.9","3411512","coCA","norming","","","{""curiosity"":1,""confidence"":3}","[0,1]","../img/tt/1188tt.jpg","",""
"5222.230000001262","","","recognition","survey-text","72","626732","0.0-6.0-3.9","3411512","coCA","norming","","","{""guess"":""fietser""}","","../img/tt/1188tt.jpg","",""
"null","../img/gs/1188gs.jpg","null","reveal","image-keyboard-response","73","628735","0.0-6.0-4.9","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1188tt.jpg","null","mooney2","image-keyboard-response","74","630743","0.0-6.0-5.9","3411512","coCA","norming","","","","","","",""
"3595.079999999143","","","post_reveal_questions","survey-likert","75","634340","0.0-6.0-6.9","3411512","coCA","norming","","","{""aha"":0}","[0]","../img/tt/1188tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","76","634549","0.0-6.0-0.10","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1255tt.jpg","null","mooney1","image-keyboard-response","77","637553","0.0-6.0-1.10","3411512","coCA","norming","","","","","","",""
"9409.654999999446","","","post_mooney1_questions","survey-likert","78","646961","0.0-6.0-2.10","3411512","coCA","norming","","","{""curiosity"":3,""confidence"":0}","[0,1]","../img/tt/1255tt.jpg","",""
"2774.220000001136","","","recognition","survey-text","79","649736","0.0-6.0-3.10","3411512","coCA","norming","","","{""guess"":""mens""}","","../img/tt/1255tt.jpg","",""
"null","../img/gs/1255gs.jpg","null","reveal","image-keyboard-response","80","651739","0.0-6.0-4.10","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1255tt.jpg","null","mooney2","image-keyboard-response","81","653746","0.0-6.0-5.10","3411512","coCA","norming","","","","","","",""
"2908.0600000015693","","","post_reveal_questions","survey-likert","82","656656","0.0-6.0-6.10","3411512","coCA","norming","","","{""aha"":3}","[0]","../img/tt/1255tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","83","656860","0.0-6.0-0.11","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1146tt.jpg","null","mooney1","image-keyboard-response","84","659868","0.0-6.0-1.11","3411512","coCA","norming","","","","","","",""
"13338.524999999208","","","post_mooney1_questions","survey-likert","85","673209","0.0-6.0-2.11","3411512","coCA","norming","","","{""curiosity"":3,""confidence"":1}","[0,1]","../img/tt/1146tt.jpg","",""
"6742.005000000121","","","recognition","survey-text","86","679952","0.0-6.0-3.11","3411512","coCA","norming","","","{""guess"":""relaxerende vrouw""}","","../img/tt/1146tt.jpg","",""
"null","../img/gs/1146gs.jpg","null","reveal","image-keyboard-response","87","681960","0.0-6.0-4.11","3411512","coCA","norming","","","","","","",""
"null","../img/tt/1146tt.jpg","null","mooney2","image-keyboard-response","88","683961","0.0-6.0-5.11","3411512","coCA","norming","","","","","","",""
"1789.6949999994831","","","post_reveal_questions","survey-likert","89","685752","0.0-6.0-6.11","3411512","coCA","norming","","","{""aha"":5}","[0]","../img/tt/1146tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","90","685958","0.0-6.0-0.12","3411512","coCA","norming","","","","","","",""
