"rt","stimulus","button_pressed","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","experiment_name","complete","totalTime","key_press","currentStim","recognized","aha"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1874","2928884","0.0-2.0-0.312","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/488tt.jpg","","mooney1","image-keyboard-response","1875","2931890","0.0-2.0-1.312","GP","2","pretest","true","3528904","null","../img/tt/488tt.jpg","",""
"14581","<p></p>","","recognized","html-keyboard-response","1876","2946471","0.0-2.0-2.312","GP","2","pretest","true","3528904","78","../img/tt/488tt.jpg","n",""
"null","../img/gs/488gs.jpg","","solution","image-keyboard-response","1877","2948475","0.0-2.0-3.312","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/488tt.jpg","","mooney2","image-keyboard-response","1878","2950476","0.0-2.0-4.312","GP","2","pretest","true","3528904","null","","",""
"659","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1879","2951136","0.0-2.0-5.312","GP","2","pretest","true","3528904","49","../img/tt/488tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1880","2951341","0.0-2.0-0.313","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1345tt.jpg","","mooney1","image-keyboard-response","1881","2954351","0.0-2.0-1.313","GP","2","pretest","true","3528904","null","../img/tt/1345tt.jpg","",""
"900","<p></p>","","recognized","html-keyboard-response","1882","2955251","0.0-2.0-2.313","GP","2","pretest","true","3528904","78","../img/tt/1345tt.jpg","n",""
"null","../img/gs/1345gs.jpg","","solution","image-keyboard-response","1883","2957268","0.0-2.0-3.313","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1345tt.jpg","","mooney2","image-keyboard-response","1884","2959271","0.0-2.0-4.313","GP","2","pretest","true","3528904","null","","",""
"467","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1885","2959739","0.0-2.0-5.313","GP","2","pretest","true","3528904","49","../img/tt/1345tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1886","2959945","0.0-2.0-0.314","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/343tt.jpg","","mooney1","image-keyboard-response","1887","2962958","0.0-2.0-1.314","GP","2","pretest","true","3528904","null","../img/tt/343tt.jpg","",""
"923","<p></p>","","recognized","html-keyboard-response","1888","2963882","0.0-2.0-2.314","GP","2","pretest","true","3528904","78","../img/tt/343tt.jpg","n",""
"null","../img/gs/343gs.jpg","","solution","image-keyboard-response","1889","2965888","0.0-2.0-3.314","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/343tt.jpg","","mooney2","image-keyboard-response","1890","2967896","0.0-2.0-4.314","GP","2","pretest","true","3528904","null","","",""
"422","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1891","2968318","0.0-2.0-5.314","GP","2","pretest","true","3528904","49","../img/tt/343tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1892","2968520","0.0-2.0-0.315","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1336tt.jpg","","mooney1","image-keyboard-response","1893","2971533","0.0-2.0-1.315","GP","2","pretest","true","3528904","null","../img/tt/1336tt.jpg","",""
"722","<p></p>","","recognized","html-keyboard-response","1894","2972256","0.0-2.0-2.315","GP","2","pretest","true","3528904","89","../img/tt/1336tt.jpg","y",""
"null","../img/gs/1336gs.jpg","","solution","image-keyboard-response","1895","2974279","0.0-2.0-3.315","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1336tt.jpg","","mooney2","image-keyboard-response","1896","2976286","0.0-2.0-4.315","GP","2","pretest","true","3528904","null","","",""
"2496","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1897","2978782","0.0-2.0-5.315","GP","2","pretest","true","3528904","50","../img/tt/1336tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1898","2978995","0.0-2.0-0.316","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/340tt.jpg","","mooney1","image-keyboard-response","1899","2982011","0.0-2.0-1.316","GP","2","pretest","true","3528904","null","../img/tt/340tt.jpg","",""
"1568","<p></p>","","recognized","html-keyboard-response","1900","2983579","0.0-2.0-2.316","GP","2","pretest","true","3528904","78","../img/tt/340tt.jpg","n",""
"null","../img/gs/340gs.jpg","","solution","image-keyboard-response","1901","2985597","0.0-2.0-3.316","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/340tt.jpg","","mooney2","image-keyboard-response","1902","2987604","0.0-2.0-4.316","GP","2","pretest","true","3528904","null","","",""
"1384","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1903","2988989","0.0-2.0-5.316","GP","2","pretest","true","3528904","52","../img/tt/340tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1904","2989198","0.0-2.0-0.317","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/562tt.jpg","","mooney1","image-keyboard-response","1905","2992204","0.0-2.0-1.317","GP","2","pretest","true","3528904","null","../img/tt/562tt.jpg","",""
"754","<p></p>","","recognized","html-keyboard-response","1906","2992958","0.0-2.0-2.317","GP","2","pretest","true","3528904","89","../img/tt/562tt.jpg","y",""
"null","../img/gs/562gs.jpg","","solution","image-keyboard-response","1907","2994974","0.0-2.0-3.317","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/562tt.jpg","","mooney2","image-keyboard-response","1908","2996981","0.0-2.0-4.317","GP","2","pretest","true","3528904","null","","",""
"520","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1909","2997502","0.0-2.0-5.317","GP","2","pretest","true","3528904","50","../img/tt/562tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1910","2997706","0.0-2.0-0.318","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1307tt.jpg","","mooney1","image-keyboard-response","1911","3000719","0.0-2.0-1.318","GP","2","pretest","true","3528904","null","../img/tt/1307tt.jpg","",""
"819","<p></p>","","recognized","html-keyboard-response","1912","3001539","0.0-2.0-2.318","GP","2","pretest","true","3528904","78","../img/tt/1307tt.jpg","n",""
"null","../img/gs/1307gs.jpg","","solution","image-keyboard-response","1913","3003551","0.0-2.0-3.318","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1307tt.jpg","","mooney2","image-keyboard-response","1914","3005555","0.0-2.0-4.318","GP","2","pretest","true","3528904","null","","",""
"1115","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1915","3006672","0.0-2.0-5.318","GP","2","pretest","true","3528904","52","../img/tt/1307tt.jpg","","4"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1916","3006875","0.0-2.0-0.319","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/503tt.jpg","","mooney1","image-keyboard-response","1917","3009889","0.0-2.0-1.319","GP","2","pretest","true","3528904","null","../img/tt/503tt.jpg","",""
"768","<p></p>","","recognized","html-keyboard-response","1918","3010658","0.0-2.0-2.319","GP","2","pretest","true","3528904","78","../img/tt/503tt.jpg","n",""
"null","../img/gs/503gs.jpg","","solution","image-keyboard-response","1919","3012662","0.0-2.0-3.319","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/503tt.jpg","","mooney2","image-keyboard-response","1920","3014676","0.0-2.0-4.319","GP","2","pretest","true","3528904","null","","",""
"3801","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1921","3018478","0.0-2.0-5.319","GP","2","pretest","true","3528904","49","../img/tt/503tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1922","3018694","0.0-2.0-0.320","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/207tt.jpg","","mooney1","image-keyboard-response","1923","3021710","0.0-2.0-1.320","GP","2","pretest","true","3528904","null","../img/tt/207tt.jpg","",""
"1718","<p></p>","","recognized","html-keyboard-response","1924","3023429","0.0-2.0-2.320","GP","2","pretest","true","3528904","89","../img/tt/207tt.jpg","y",""
"null","../img/gs/207gs.jpg","","solution","image-keyboard-response","1925","3025431","0.0-2.0-3.320","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/207tt.jpg","","mooney2","image-keyboard-response","1926","3027434","0.0-2.0-4.320","GP","2","pretest","true","3528904","null","","",""
"1473","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1927","3028908","0.0-2.0-5.320","GP","2","pretest","true","3528904","50","../img/tt/207tt.jpg","","2"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1928","3029119","0.0-2.0-0.321","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/237tt.jpg","","mooney1","image-keyboard-response","1929","3032127","0.0-2.0-1.321","GP","2","pretest","true","3528904","null","../img/tt/237tt.jpg","",""
"955","<p></p>","","recognized","html-keyboard-response","1930","3033082","0.0-2.0-2.321","GP","2","pretest","true","3528904","78","../img/tt/237tt.jpg","n",""
"null","../img/gs/237gs.jpg","","solution","image-keyboard-response","1931","3035091","0.0-2.0-3.321","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/237tt.jpg","","mooney2","image-keyboard-response","1932","3037094","0.0-2.0-4.321","GP","2","pretest","true","3528904","null","","",""
"437","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1933","3037532","0.0-2.0-5.321","GP","2","pretest","true","3528904","49","../img/tt/237tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1934","3037739","0.0-2.0-0.322","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/358tt.jpg","","mooney1","image-keyboard-response","1935","3040751","0.0-2.0-1.322","GP","2","pretest","true","3528904","null","../img/tt/358tt.jpg","",""
"797","<p></p>","","recognized","html-keyboard-response","1936","3041549","0.0-2.0-2.322","GP","2","pretest","true","3528904","78","../img/tt/358tt.jpg","n",""
"null","../img/gs/358gs.jpg","","solution","image-keyboard-response","1937","3043558","0.0-2.0-3.322","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/358tt.jpg","","mooney2","image-keyboard-response","1938","3045573","0.0-2.0-4.322","GP","2","pretest","true","3528904","null","","",""
"672","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1939","3046245","0.0-2.0-5.322","GP","2","pretest","true","3528904","49","../img/tt/358tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1940","3046448","0.0-2.0-0.323","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/160tt.jpg","","mooney1","image-keyboard-response","1941","3049457","0.0-2.0-1.323","GP","2","pretest","true","3528904","null","../img/tt/160tt.jpg","",""
"2123","<p></p>","","recognized","html-keyboard-response","1942","3051581","0.0-2.0-2.323","GP","2","pretest","true","3528904","89","../img/tt/160tt.jpg","y",""
"null","../img/gs/160gs.jpg","","solution","image-keyboard-response","1943","3053596","0.0-2.0-3.323","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/160tt.jpg","","mooney2","image-keyboard-response","1944","3055598","0.0-2.0-4.323","GP","2","pretest","true","3528904","null","","",""
"612","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1945","3056211","0.0-2.0-5.323","GP","2","pretest","true","3528904","53","../img/tt/160tt.jpg","","5"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1946","3056426","0.0-2.0-0.324","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1301tt.jpg","","mooney1","image-keyboard-response","1947","3059430","0.0-2.0-1.324","GP","2","pretest","true","3528904","null","../img/tt/1301tt.jpg","",""
"479","<p></p>","","recognized","html-keyboard-response","1948","3059910","0.0-2.0-2.324","GP","2","pretest","true","3528904","89","../img/tt/1301tt.jpg","y",""
"null","../img/gs/1301gs.jpg","","solution","image-keyboard-response","1949","3061917","0.0-2.0-3.324","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1301tt.jpg","","mooney2","image-keyboard-response","1950","3063929","0.0-2.0-4.324","GP","2","pretest","true","3528904","null","","",""
"442","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1951","3064372","0.0-2.0-5.324","GP","2","pretest","true","3528904","49","../img/tt/1301tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1952","3064587","0.0-2.0-0.325","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/403tt.jpg","","mooney1","image-keyboard-response","1953","3067601","0.0-2.0-1.325","GP","2","pretest","true","3528904","null","../img/tt/403tt.jpg","",""
"829","<p></p>","","recognized","html-keyboard-response","1954","3068431","0.0-2.0-2.325","GP","2","pretest","true","3528904","78","../img/tt/403tt.jpg","n",""
"null","../img/gs/403gs.jpg","","solution","image-keyboard-response","1955","3070432","0.0-2.0-3.325","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/403tt.jpg","","mooney2","image-keyboard-response","1956","3072435","0.0-2.0-4.325","GP","2","pretest","true","3528904","null","","",""
"482","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1957","3072918","0.0-2.0-5.325","GP","2","pretest","true","3528904","49","../img/tt/403tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1958","3073121","0.0-2.0-0.326","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/333tt.jpg","","mooney1","image-keyboard-response","1959","3076130","0.0-2.0-1.326","GP","2","pretest","true","3528904","null","../img/tt/333tt.jpg","",""
"794","<p></p>","","recognized","html-keyboard-response","1960","3076926","0.0-2.0-2.326","GP","2","pretest","true","3528904","78","../img/tt/333tt.jpg","n",""
"null","../img/gs/333gs.jpg","","solution","image-keyboard-response","1961","3078941","0.0-2.0-3.326","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/333tt.jpg","","mooney2","image-keyboard-response","1962","3080959","0.0-2.0-4.326","GP","2","pretest","true","3528904","null","","",""
"625","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1963","3081584","0.0-2.0-5.326","GP","2","pretest","true","3528904","49","../img/tt/333tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1964","3081785","0.0-2.0-0.327","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1341tt.jpg","","mooney1","image-keyboard-response","1965","3084787","0.0-2.0-1.327","GP","2","pretest","true","3528904","null","../img/tt/1341tt.jpg","",""
"553","<p></p>","","recognized","html-keyboard-response","1966","3085340","0.0-2.0-2.327","GP","2","pretest","true","3528904","89","../img/tt/1341tt.jpg","y",""
"null","../img/gs/1341gs.jpg","","solution","image-keyboard-response","1967","3087355","0.0-2.0-3.327","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1341tt.jpg","","mooney2","image-keyboard-response","1968","3089367","0.0-2.0-4.327","GP","2","pretest","true","3528904","null","","",""
"403","<p>How strong was your <strong>aha-experience</strong>?</p>","","aha","html-keyboard-response","1969","3089771","0.0-2.0-5.327","GP","2","pretest","true","3528904","49","../img/tt/1341tt.jpg","","1"
"null","<div style=""font-size:60px;""> </div>","","fixation","html-keyboard-response","1970","3089976","0.0-2.0-0.328","GP","2","pretest","true","3528904","null","","",""
"null","../img/tt/1343tt.jpg","","mooney1","image-keyboard-response","1971","3092992","0.0-2.0-1.328","GP","2","pretest","true","3528904","null","../img/tt/1343tt.jpg","",""
