"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","totalTime","subject","experiment_name","button_pressed","success","responses","question_order","currentStim","old","correct"
"6892.250000033528","","","post_mooney1_questions","survey-likert","393","1299193","0.0-6.0-2.55","2955911","co39031","norming","","","{""curiosity"":5,""confidence"":4}","[0,1]","../img/tt/1181tt.jpg","",""
"5482.795000076294","","","recognition","survey-text","394","1304680","0.0-6.0-3.55","2955911","co39031","norming","","","{""guess"":""2 mannen""}","","../img/tt/1181tt.jpg","",""
"null","../img/gs/1181gs.jpg","null","reveal","image-keyboard-response","395","1306687","0.0-6.0-4.55","2955911","co39031","norming","","","","","","",""
"null","../img/tt/1181tt.jpg","null","mooney2","image-keyboard-response","396","1308689","0.0-6.0-5.55","2955911","co39031","norming","","","","","","",""
"2307.3899999726564","","","post_reveal_questions","survey-likert","397","1311000","0.0-6.0-6.55","2955911","co39031","norming","","","{""aha"":5}","[0]","../img/tt/1181tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","398","1311205","0.0-6.0-0.56","2955911","co39031","norming","","","","","","",""
"null","../img/tt/118tt.jpg","null","mooney1","image-keyboard-response","399","1314212","0.0-6.0-1.56","2955911","co39031","norming","","","","","","",""
"8952.004999970086","","","post_mooney1_questions","survey-likert","400","1323168","0.0-6.0-2.56","2955911","co39031","norming","","","{""curiosity"":5,""confidence"":1}","[0,1]","../img/tt/118tt.jpg","",""
"168.85500005446374","","","recognition","survey-text","401","1323340","0.0-6.0-3.56","2955911","co39031","norming","","","{""guess"":""""}","","../img/tt/118tt.jpg","",""
"null","../img/gs/118gs.jpg","null","reveal","image-keyboard-response","402","1325347","0.0-6.0-4.56","2955911","co39031","norming","","","","","","",""
"null","../img/tt/118tt.jpg","null","mooney2","image-keyboard-response","403","1327352","0.0-6.0-5.56","2955911","co39031","norming","","","","","","",""
"3142.2249999595806","","","post_reveal_questions","survey-likert","404","1330496","0.0-6.0-6.56","2955911","co39031","norming","","","{""aha"":2}","[0]","../img/tt/118tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","405","1330700","0.0-6.0-0.57","2955911","co39031","norming","","","","","","",""
"null","../img/tt/318tt.jpg","null","mooney1","image-keyboard-response","406","1333709","0.0-6.0-1.57","2955911","co39031","norming","","","","","","",""
"5289.024999947287","","","post_mooney1_questions","survey-likert","407","1339002","0.0-6.0-2.57","2955911","co39031","norming","","","{""curiosity"":5,""confidence"":1}","[0,1]","../img/tt/318tt.jpg","",""
"1087.5049999449402","","","recognition","survey-text","408","1340093","0.0-6.0-3.57","2955911","co39031","norming","","","{""guess"":""""}","","../img/tt/318tt.jpg","",""
"null","../img/gs/318gs.jpg","null","reveal","image-keyboard-response","409","1342100","0.0-6.0-4.57","2955911","co39031","norming","","","","","","",""
"null","../img/tt/318tt.jpg","null","mooney2","image-keyboard-response","410","1344106","0.0-6.0-5.57","2955911","co39031","norming","","","","","","",""
"2603.59499999322","","","post_reveal_questions","survey-likert","411","1346712","0.0-6.0-6.57","2955911","co39031","norming","","","{""aha"":4}","[0]","../img/tt/318tt.jpg","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","412","1346917","0.0-6.0-0.58","2955911","co39031","norming","","","","","","",""
"null","../img/tt/163tt.jpg","null","mooney1","image-keyboard-response","413","1349923","0.0-6.0-1.58","2955911","co39031","norming","","","","","","",""
"10675.59999995865","","","post_mooney1_questions","survey-likert","414","1360602","0.0-6.0-2.58","2955911","co39031","norming","","","{""curiosity"":4,""confidence"":5}","[0,1]","../img/tt/163tt.jpg","",""
"2632.8550000907853","","","recognition","survey-text","415","1363238","0.0-6.0-3.58","2955911","co39031","norming","","","{""guess"":""kikker""}","","../img/tt/163tt.jpg","",""
"null","../img/gs/163gs.jpg","null","reveal","image-keyboard-response","416","1365243","0.0-6.0-4.58","2955911","co39031","norming","","","","","","",""
