,mooney,solution,labelsEn,labelsNl
123,img/tt/124tt.jpg,img/gs/124gs.jpg,"ape, monkey, gorilla",
124,img/tt/125tt.jpg,img/gs/125gs.jpg,seahorse,
125,img/tt/126tt.jpg,img/gs/126gs.jpg,"cow, bovine",
126,img/tt/127tt.jpg,img/gs/127gs.jpg,"grashopper, cricket, locust, mantis, praying mantis",
127,img/tt/128tt.jpg,img/gs/128gs.jpg,"grapes, vine",
128,img/tt/129tt.jpg,img/gs/129gs.jpg,"tipi, teepee, wigwam, tent, indian tent",
129,img/tt/130tt.jpg,img/gs/130gs.jpg,camera,
130,img/tt/131tt.jpg,img/gs/131gs.jpg,"camel, dromedary",
131,img/tt/132tt.jpg,img/gs/132gs.jpg,"boys, children, playing, football, soccer, kids",
132,img/tt/133tt.jpg,img/gs/133gs.jpg,"buddha, statue",
133,img/tt/134tt.jpg,img/gs/134gs.jpg,"guitar, electric",
134,img/tt/135tt.jpg,img/gs/135gs.jpg,"toilet, wc, water closet, restroom, lavatory, bathroom, seat",
135,img/tt/136tt.jpg,img/gs/136gs.jpg,"frog, toad, bullfrog",
136,img/tt/137tt.jpg,img/gs/137gs.jpg,"camel, dromedary",
137,img/tt/138tt.jpg,img/gs/138gs.jpg,"kangaroo, wallaby, wallaroo",
138,img/tt/139tt.jpg,img/gs/139gs.jpg,"grashopper, cricket, locust, mantis, praying mantis",
139,img/tt/140tt.jpg,img/gs/140gs.jpg,"forks, cutlery, kitchenware",
140,img/tt/141tt.jpg,img/gs/141gs.jpg,"rhinoceros, rhino, hippopotamus",
141,img/tt/142tt.jpg,img/gs/142gs.jpg,"flamingo, flamingos",
142,img/tt/143tt.jpg,img/gs/143gs.jpg,pyramid,
143,img/tt/144tt.jpg,img/gs/144gs.jpg,"camel, dromedary",
144,img/tt/145tt.jpg,img/gs/145gs.jpg,"frog, toad, bullfrog",
145,img/tt/146tt.jpg,img/gs/146gs.jpg,"cannon, artillery, mortar, battery, gunnery, weapon",
146,img/tt/147tt.jpg,img/gs/147gs.jpg,elephant,
147,img/tt/148tt.jpg,img/gs/148gs.jpg,"sax, saxophone",
148,img/tt/149tt.jpg,img/gs/149gs.jpg,"rhinoceros, rhino, hippopotamus",
149,img/tt/150tt.jpg,img/gs/150gs.jpg,"keg, cask, vat, tub, tun",
150,img/tt/151tt.jpg,img/gs/151gs.jpg,"grashopper, cricket, locust, mantis, praying mantis",
151,img/tt/152tt.jpg,img/gs/152gs.jpg,"crocodile, croc, caiman, alligator",
152,img/tt/153tt.jpg,img/gs/153gs.jpg,"jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar",
153,img/tt/154tt.jpg,img/gs/154gs.jpg,"hawksbill, tortoise, turtle, sea turtle",
154,img/tt/155tt.jpg,img/gs/155gs.jpg,ostrich,
155,img/tt/156tt.jpg,img/gs/156gs.jpg,"crocodile, croc, caiman, alligator",
156,img/tt/157tt.jpg,img/gs/157gs.jpg,"orca, whale, killer whale, dolphin",
157,img/tt/158tt.jpg,img/gs/158gs.jpg,"boxing gloves, gloves, boxer, boxing",
158,img/tt/159tt.jpg,img/gs/159gs.jpg,"snake, python, mamba, cobra, serpent",
159,img/tt/160tt.jpg,img/gs/160gs.jpg,"cannon, artillery, mortar, battery, gunnery, weapon",
160,img/tt/161tt.jpg,img/gs/161gs.jpg,"canoe, kayak, kayaker",
161,img/tt/162tt.jpg,img/gs/162gs.jpg,"flamingo, flamingos",
162,img/tt/163tt.jpg,img/gs/163gs.jpg,"frog, toad, bullfrog",
163,img/tt/164tt.jpg,img/gs/164gs.jpg,"ewer, can, jug, pitcher, vessel, urn",
164,img/tt/165tt.jpg,img/gs/165gs.jpg,"boat, ship, bateau, yacht, tanker, cruise ship, cruise, ferry",
165,img/tt/166tt.jpg,img/gs/166gs.jpg,"conch, shell, sea",
