	"mooney"	"i"	"mooneys"	"solution"	"labelsEn"	"labelsNl"	"broadcat"
54	"img/tt/301tt.jpg"	175	"img/tt/301tt.jpg"	"img/gs/301gs.jpg"	"bells, clocks"	"klokken, bellen"	"object"
55	"img/tt/306tt.jpg"	177	"img/tt/306tt.jpg"	"img/gs/306gs.jpg"	"frog, toad, bullfrog"	"kikker, pad"	"animal"
56	"img/tt/307tt.jpg"	178	"img/tt/307tt.jpg"	"img/gs/307gs.jpg"	"hawksbill, tortoise, turtle, sea turtle"	"schildpad, zeeschildpad, landschildpad "	"animal"
57	"img/tt/315tt.jpg"	182	"img/tt/315tt.jpg"	"img/gs/315gs.jpg"	"cat, pussy, feline"	"kat, poes, kitten, kater, kattin, katachtige"	"animal"
58	"img/tt/318tt.jpg"	185	"img/tt/318tt.jpg"	"img/gs/318gs.jpg"	"car, automobile, seat, steering wheel"	"auto, autostuur, zitplaats, zetel, autozetel, bestuurszetel, chauffeurszetel "	"object"
59	"img/tt/319tt.jpg"	186	"img/tt/319tt.jpg"	"img/gs/319gs.jpg"	"donkeys, horses"	"ezels, paarden"	"animal"
60	"img/tt/329tt.jpg"	191	"img/tt/329tt.jpg"	"img/gs/329gs.jpg"	"squid, tentacles, octopus"	"octopus, inktvis, tentakels "	"animal"
61	"img/tt/353tt.jpg"	209	"img/tt/353tt.jpg"	"img/gs/353gs.jpg"	"penguins"	"pinguïns"	"animal"
62	"img/tt/357tt.jpg"	211	"img/tt/357tt.jpg"	"img/gs/357gs.jpg"	"hedgehog"	"egel"	"animal"
63	"img/tt/358tt.jpg"	212	"img/tt/358tt.jpg"	"img/gs/358gs.jpg"	"camel, dromedary"	"kameel, dromedaris"	"animal"
64	"img/tt/378tt.jpg"	225	"img/tt/378tt.jpg"	"img/gs/378gs.jpg"	"jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar"	"jaguar, jachtluipaard, luipaard, poema, cheetah, tijger, leeuw, lynx, panter, katachtige"	"animal"
65	"img/tt/380tt.jpg"	227	"img/tt/380tt.jpg"	"img/gs/380gs.jpg"	"billiards, snooker, cue sports, pool"	"biljart, snooker, pool"	"object"
66	"img/tt/405tt.jpg"	242	"img/tt/405tt.jpg"	"img/gs/405gs.jpg"	"bear, koala, koala bear"	"beer, koalabeer, koala"	"animal"
67	"img/tt/406tt.jpg"	243	"img/tt/406tt.jpg"	"img/gs/406gs.jpg"	"bat"	"vleermuis"	"animal"
68	"img/tt/412tt.jpg"	249	"img/tt/412tt.jpg"	"img/gs/412gs.jpg"	"binoculars"	"verrekijker"	"object"
69	"img/tt/416tt.jpg"	251	"img/tt/416tt.jpg"	"img/gs/416gs.jpg"	"ostrich, emu, bird"	"struisvogel, emoe, vogel"	"animal"
70	"img/tt/418tt.jpg"	253	"img/tt/418tt.jpg"	"img/gs/418gs.jpg"	"tomato, tomatoes"	"tomaat, tomaten"	"food"
71	"img/tt/435tt.jpg"	265	"img/tt/435tt.jpg"	"img/gs/435gs.jpg"	"billiards, snooker, cue sports, pool"	"snooker, biljart, pool"	"object"
72	"img/tt/436tt.jpg"	266	"img/tt/436tt.jpg"	"img/gs/436gs.jpg"	"iguana, iguanadon, lizard"	"hagedis, leguaan"	"animal"
73	"img/tt/438tt.jpg"	268	"img/tt/438tt.jpg"	"img/gs/438gs.jpg"	"snake, python, mamba, cobra, serpent"	"slang, cobra, python, serpent"	"animal"
74	"img/tt/440tt.jpg"	270	"img/tt/440tt.jpg"	"img/gs/440gs.jpg"	"camel, dromedary"	"kameel, dromedaris"	"animal"
75	"img/tt/442tt.jpg"	271	"img/tt/442tt.jpg"	"img/gs/442gs.jpg"	"cactus"	"cactus"	"object"
76	"img/tt/456tt.jpg"	276	"img/tt/456tt.jpg"	"img/gs/456gs.jpg"	"bear, arctic bear, polar bear"	"ijsbeer, beer"	"animal"
77	"img/tt/468tt.jpg"	286	"img/tt/468tt.jpg"	"img/gs/468gs.jpg"	"violin, cello"	"viool, cello, strijkinstrument"	"object"
78	"img/tt/477tt.jpg"	291	"img/tt/477tt.jpg"	"img/gs/477gs.jpg"	"fish, goldfish, bowl"	"vis, viskom, goudvis, visbokaal"	"animal"
79	"img/tt/481tt.jpg"	294	"img/tt/481tt.jpg"	"img/gs/481gs.jpg"	"dog, dogs, hound"	"hond, honden"	"animal"
80	"img/tt/496tt.jpg"	303	"img/tt/496tt.jpg"	"img/gs/496gs.jpg"	"dog, pug, puppy"	"hond, mopshond, pug"	"animal"
81	"img/tt/497tt.jpg"	304	"img/tt/497tt.jpg"	"img/gs/497gs.jpg"	"stove, fire, cooking, plate"	"stoof, gasvuur, vuur, fornuis, kookplaat"	"object"
82	"img/tt/507tt.jpg"	309	"img/tt/507tt.jpg"	"img/gs/507gs.jpg"	"woman, dancer, dancing, lady, superwoman"	"vrouw, danseres, superheldin"	"human"
83	"img/tt/515tt.jpg"	314	"img/tt/515tt.jpg"	"img/gs/515gs.jpg"	"bird, sparrow"	"vogel, mus"	"animal"
84	"img/tt/517tt.jpg"	316	"img/tt/517tt.jpg"	"img/gs/517gs.jpg"	"raccoon, racoon, bear"	"wasbeer, rode panda"	"animal"
85	"img/tt/522tt.jpg"	320	"img/tt/522tt.jpg"	"img/gs/522gs.jpg"	"cat, pussy, feline"	"kat, kitten, poes"	"animal"
86	"img/tt/524tt.jpg"	322	"img/tt/524tt.jpg"	"img/gs/524gs.jpg"	"ostrich, emu, bird"	"struisvogel, emoe"	"animal"
87	"img/tt/534tt.jpg"	330	"img/tt/534tt.jpg"	"img/gs/534gs.jpg"	"cactus"	"cactus"	"object"
88	"img/tt/549tt.jpg"	340	"img/tt/549tt.jpg"	"img/gs/549gs.jpg"	"grasshopper, cricket, locust, mantis, praying mantis"	"sprinkhaan, krekel, bidsprinkhaan"	"animal"
89	"img/tt/552tt.jpg"	343	"img/tt/552tt.jpg"	"img/gs/552gs.jpg"	"skunk, badger, stink"	"stinkdier, das"	"animal"
90	"img/tt/559tt.jpg"	348	"img/tt/559tt.jpg"	"img/gs/559gs.jpg"	"sewing machine, sewing, stitching machine, stitcher, sewer"	"naaimachine, naaien, stikmachine, stikken"	"object"
91	"img/tt/567tt.jpg"	352	"img/tt/567tt.jpg"	"img/gs/567gs.jpg"	"toaster, toast"	"broodrooster, toast"	"object"
92	"img/tt/580tt.jpg"	361	"img/tt/580tt.jpg"	"img/gs/580gs.jpg"	"raccoon, racoon, bear"	"wasbeer, wasberen"	"animal"
93	"img/tt/584tt.jpg"	364	"img/tt/584tt.jpg"	"img/gs/584gs.jpg"	"pliers, stripping tool, pincer, tool"	"knijptang, plooitang, tang, gereedschap"	"object"
94	"img/tt/590tt.jpg"	368	"img/tt/590tt.jpg"	"img/gs/590gs.jpg"	"cannon, artillery, mortar, battery, gunnery, weapon"	"kanon, wapen, artillerie"	"object"
95	"img/tt/598tt.jpg"	375	"img/tt/598tt.jpg"	"img/gs/598gs.jpg"	"snail, slug"	"slak, huisjesslak"	"animal"
96	"img/tt/599tt.jpg"	376	"img/tt/599tt.jpg"	"img/gs/599gs.jpg"	"owl, owls"	"uil, uilen"	"animal"
97	"img/tt/603tt.jpg"	379	"img/tt/603tt.jpg"	"img/gs/603gs.jpg"	"cat, pussy, feline"	"kat, kitten, poes"	"animal"
98	"img/tt/1002tt.jpg"	381	"img/tt/1002tt.jpg"	"img/gs/1002gs.jpg"	"bear, brown bear, grizzly, grizzly bear"	"beer, bruine beer, grizzlybeer"	"animal"
99	"img/tt/1004tt.jpg"	383	"img/tt/1004tt.jpg"	"img/gs/1004gs.jpg"	"elephant, elephants"	"olifant, olifanten"	"animal"
100	"img/tt/1006tt.jpg"	385	"img/tt/1006tt.jpg"	"img/gs/1006gs.jpg"	"sheep, lamb, ram"	"schaap, schapen, ram, bok"	"animal"
101	"img/tt/1012tt.jpg"	391	"img/tt/1012tt.jpg"	"img/gs/1012gs.jpg"	"horse, horses"	"paard, paarden, pony"	"animal"
102	"img/tt/1024tt.jpg"	403	"img/tt/1024tt.jpg"	"img/gs/1024gs.jpg"	"tennis, tennis player, tennis racket, racket"	"tennis, tennisser, tennisspeler, tennisspeelster, tennisracket"	"human"
103	"img/tt/1027tt.jpg"	406	"img/tt/1027tt.jpg"	"img/gs/1027gs.jpg"	"cow, cows, bovine, bovines"	"koe, koeien, rund"	"animal"
104	"img/tt/1033tt.jpg"	412	"img/tt/1033tt.jpg"	"img/gs/1033gs.jpg"	"baseball, baseball players, baseball game, catcher, batter"	"baseball, honkbal, softball, baseballspelers, honk"	"human"
105	"img/tt/1037tt.jpg"	416	"img/tt/1037tt.jpg"	"img/gs/1037gs.jpg"	"dog, hound"	"hond"	"animal"
106	"img/tt/1040tt.jpg"	419	"img/tt/1040tt.jpg"	"img/gs/1040gs.jpg"	"ski, skiing, skier, cross country skiiing"	"skiër, skiën"	"human"
107	"img/tt/1043tt.jpg"	422	"img/tt/1043tt.jpg"	"img/gs/1043gs.jpg"	"hotdog, hotdogs"	"hotdog, hotdogs, broodje"	"animal"
108	"img/tt/1044tt.jpg"	423	"img/tt/1044tt.jpg"	"img/gs/1044gs.jpg"	"giraffe"	"giraf"	"animal"
109	"img/tt/1046tt.jpg"	425	"img/tt/1046tt.jpg"	"img/gs/1046gs.jpg"	"pizza"	"pizza"	"food"
110	"img/tt/1048tt.jpg"	427	"img/tt/1048tt.jpg"	"img/gs/1048gs.jpg"	"snowboard, snowboarder"	"snowboard, snowboarder"	"human"
111	"img/tt/1049tt.jpg"	428	"img/tt/1049tt.jpg"	"img/gs/1049gs.jpg"	"dog, dogs, pug, pugs"	"hond, honden, pug, pugs, mopshond, mopshonden"	"animal"
112	"img/tt/1053tt.jpg"	432	"img/tt/1053tt.jpg"	"img/gs/1053gs.jpg"	"cow, cows, bovine, bovines"	"koe, koeien, kalf, rund, runderen"	"animal"
113	"img/tt/1055tt.jpg"	434	"img/tt/1055tt.jpg"	"img/gs/1055gs.jpg"	"surfer, surfing, surf, surfboard"	"surfen, surfer, surfboard"	"human"
114	"img/tt/1061tt.jpg"	440	"img/tt/1061tt.jpg"	"img/gs/1061gs.jpg"	"frisbee, ultimate frisbee, frisbee game"	"frisbee, ultimate frisbee"	"object"
115	"img/tt/1063tt.jpg"	442	"img/tt/1063tt.jpg"	"img/gs/1063gs.jpg"	"horse, horses, pony, ponies"	"pony, ponies, paard, paarden"	"animal"
116	"img/tt/1066tt.jpg"	445	"img/tt/1066tt.jpg"	"img/gs/1066gs.jpg"	"bus"	"bus"	"object"
117	"img/tt/1069tt.jpg"	448	"img/tt/1069tt.jpg"	"img/gs/1069gs.jpg"	"sheep, lamb, ram"	"schaap, schapen, ram, bok"	"animal"
118	"img/tt/1070tt.jpg"	449	"img/tt/1070tt.jpg"	"img/gs/1070gs.jpg"	"cake, pie, dessert"	"cake, taart, dessert, gebak"	"food"
119	"img/tt/1072tt.jpg"	451	"img/tt/1072tt.jpg"	"img/gs/1072gs.jpg"	"dog, hound, motorcycle, bike"	"hond, motor, motorfiets, scooter"	"object"
120	"img/tt/1078tt.jpg"	457	"img/tt/1078tt.jpg"	"img/gs/1078gs.jpg"	"skateboard, skateboarder"	"skateboard, skateboarder"	"human"
121	"img/tt/1080tt.jpg"	459	"img/tt/1080tt.jpg"	"img/gs/1080gs.jpg"	"sheep, lamb, ram"	"schaap, schapen, ram"	"animal"
122	"img/tt/1084tt.jpg"	463	"img/tt/1084tt.jpg"	"img/gs/1084gs.jpg"	"cake, pie, dessert"	"cake, taart, dessert, gebak"	"food"
123	"img/tt/1086tt.jpg"	465	"img/tt/1086tt.jpg"	"img/gs/1086gs.jpg"	"dog, dogs, hound, hounds"	"hond, honden, husky"	"animal"
124	"img/tt/1087tt.jpg"	466	"img/tt/1087tt.jpg"	"img/gs/1087gs.jpg"	"sheep, lamb, black sheep"	"schaap, schapen, zwart schaap"	"animal"
125	"img/tt/1089tt.jpg"	468	"img/tt/1089tt.jpg"	"img/gs/1089gs.jpg"	"elephant, elephants"	"olifant, olifanten"	"animal"
126	"img/tt/1091tt.jpg"	470	"img/tt/1091tt.jpg"	"img/gs/1091gs.jpg"	"horse"	"paard"	"animal"
127	"img/tt/1096tt.jpg"	475	"img/tt/1096tt.jpg"	"img/gs/1096gs.jpg"	"horse, stable, saddle"	"paard, stal, zadel"	"object"
128	"img/tt/1097tt.jpg"	476	"img/tt/1097tt.jpg"	"img/gs/1097gs.jpg"	"surfer, surfing, surf, surfboard, paddle board, paddle boarding"	"surfen, surfer, surfboard, paddle boarden, peddelaar"	"human"
129	"img/tt/1101tt.jpg"	480	"img/tt/1101tt.jpg"	"img/gs/1101gs.jpg"	"soccer, football, soccer game, soccer player, football player"	"voetbal, voetballen, voetbalspeler, keeper"	"human"
130	"img/tt/1102tt.jpg"	481	"img/tt/1102tt.jpg"	"img/gs/1102gs.jpg"	"skateboard, skateboarder"	"skateboard, skateboarder"	"human"
131	"img/tt/1107tt.jpg"	486	"img/tt/1107tt.jpg"	"img/gs/1107gs.jpg"	"cat, pussy, feline, kitten, kitty"	"kat, kitten, poes, poesje"	"animal"
132	"img/tt/1116tt.jpg"	495	"img/tt/1116tt.jpg"	"img/gs/1116gs.jpg"	"plane, airplane, aeroplane, propeller plane"	"vliegtuig, vliegtuigen"	"object"
133	"img/tt/1118tt.jpg"	497	"img/tt/1118tt.jpg"	"img/gs/1118gs.jpg"	"elephant"	"olifant"	"animal"
134	"img/tt/1122tt.jpg"	501	"img/tt/1122tt.jpg"	"img/gs/1122gs.jpg"	"boat, boats, speedboats, yachts"	"boot, speedboot, boten, schip"	"object"
135	"img/tt/1123tt.jpg"	502	"img/tt/1123tt.jpg"	"img/gs/1123gs.jpg"	"football, american football, football player"	"american football, football"	"human"
136	"img/tt/1125tt.jpg"	504	"img/tt/1125tt.jpg"	"img/gs/1125gs.jpg"	"volleyball, volleyball player, volleyball players"	"volleybal, volleybalspeler, volleybalspelers"	"human"
137	"img/tt/1126tt.jpg"	505	"img/tt/1126tt.jpg"	"img/gs/1126gs.jpg"	"climbing, rock climbing, mountain climbing, climber, rock climber, mountain climber"	"bergbeklimmer, bergbeklimmen, klimmer, rotsklimmen"	"human"
138	"img/tt/1127tt.jpg"	506	"img/tt/1127tt.jpg"	"img/gs/1127gs.jpg"	"fencing, swords, fight, sword fight"	"schermen, gevecht, duel"	"human"
139	"img/tt/1128tt.jpg"	507	"img/tt/1128tt.jpg"	"img/gs/1128gs.jpg"	"martial arts, fighting, flip, karate"	"vechten, karate, gevechtssport "	"human"
140	"img/tt/1130tt.jpg"	509	"img/tt/1130tt.jpg"	"img/gs/1130gs.jpg"	"cyclist, cycling, bicycle, bike, cycler"	"fiets, koersfiets, sportfiets, racefiets, fietser, coureur, wielrenner"	"human"
141	"img/tt/1142tt.jpg"	521	"img/tt/1142tt.jpg"	"img/gs/1142gs.jpg"	"long jump, track and field, athlete"	"verspringen, atlete "	"human"
142	"img/tt/1143tt.jpg"	522	"img/tt/1143tt.jpg"	"img/gs/1143gs.jpg"	"cycling, gym, spin class, spinning, exercise, working out"	"gym, fitness, spinning, fietsen, hometrainer, sporten, fitnessruimte"	"human"
143	"img/tt/1146tt.jpg"	525	"img/tt/1146tt.jpg"	"img/gs/1146gs.jpg"	"archery, archer, bow and arrow"	"pijl en boog, boogschutter, boogschieten"	"human"
144	"img/tt/1148tt.jpg"	527	"img/tt/1148tt.jpg"	"img/gs/1148gs.jpg"	"polo, water polo, polo players, water polo players"	"polo, waterpolo, polospelers, waterpolospelers "	"human"
145	"img/tt/1151tt.jpg"	530	"img/tt/1151tt.jpg"	"img/gs/1151gs.jpg"	"climbing, rock climbing, mountain climbing, climber, rock climber, mountain climber"	"bergbeklimmer, bergbeklimmen, klimmer, rotsklimmen"	"human"
146	"img/tt/1154tt.jpg"	533	"img/tt/1154tt.jpg"	"img/gs/1154gs.jpg"	"canoe, kayak, boat, river, kayakers"	"kayak, kano, boot, rivier, kayakers "	"human"
147	"img/tt/1156tt.jpg"	535	"img/tt/1156tt.jpg"	"img/gs/1156gs.jpg"	"swimmer, swimming, floating"	"zwemster, zwemmen, drijven"	"human"
148	"img/tt/1159tt.jpg"	538	"img/tt/1159tt.jpg"	"img/gs/1159gs.jpg"	"skateboard, skateboarder"	"skateboard, skateboarden, skater"	"human"
149	"img/tt/1161tt.jpg"	540	"img/tt/1161tt.jpg"	"img/gs/1161gs.jpg"	"climbing, rock climbing, mountain climbing, climber, rock climber, mountain climber"	"bergbeklimmer, bergbeklimmen, klimmer, rotsklimmen"	"human"
150	"img/tt/1171tt.jpg"	550	"img/tt/1171tt.jpg"	"img/gs/1171gs.jpg"	"basketball, basketball player"	"basketbal, basketbalspeler "	"human"
151	"img/tt/1173tt.jpg"	552	"img/tt/1173tt.jpg"	"img/gs/1173gs.jpg"	"lacrosse, lacrosse players"	"lacrosse, lacrossespelers "	"human"
152	"img/tt/1175tt.jpg"	554	"img/tt/1175tt.jpg"	"img/gs/1175gs.jpg"	"archery, archer, bow and arrow"	"pijl en boog, boogschutter, boogschieten"	"human"
153	"img/tt/1181tt.jpg"	560	"img/tt/1181tt.jpg"	"img/gs/1181gs.jpg"	"boxing, boxer, kickboxing, fight"	"boksen, bokser, gevecht, bokswedstrijd, kickboksen"	"human"
154	"img/tt/1186tt.jpg"	565	"img/tt/1186tt.jpg"	"img/gs/1186gs.jpg"	"roller skating, roller blading, skating, skate"	"rolschaatsen, rolschaatser, skater"	"human"
155	"img/tt/1188tt.jpg"	567	"img/tt/1188tt.jpg"	"img/gs/1188gs.jpg"	"cyclist, cycling, bicycle, bike"	"fietser, coureur "	"human"
156	"img/tt/1189tt.jpg"	568	"img/tt/1189tt.jpg"	"img/gs/1189gs.jpg"	"swimmer, swimming, race"	"zwemmer, zwemmen, zwemwedstrijd, wedstrijd"	"human"
